"","idcode","industry","occupation","union","wage","hours","ttl_exp","tenure","age","gender","race","married","yearsofschooling","collgrad","south","smsa","c_city"
"623",1540,"Professional Services","Professional/technical","nonunion",9.197324,16,14.05769,5.583333,39,"male","white","married",12,"not college grad",1,"SMSA",1
"624",1542,"Finance/Ins/Real Estate","Sales","nonunion",4.388082,40,14.91667,4.416667,43,"female","white","married",12,"not college grad",0,"SMSA",1
"625",1543,"Professional Services","Professional/technical","union",10.45088,40,7.064102,3.833333,43,"male","white","married",18,"college grad",0,"nonSMSA",0
"626",1545,"Professional Services","Sales","nonunion",4.420288,7,11.03846,1.333333,38,"female","white","married",16,"college grad",0,"SMSA",1
"627",1557,"Finance/Ins/Real Estate","Sales","nonunion",5.611914,40,13.86539,0.75,39,"female","white","married",12,"not college grad",0,"nonSMSA",0
"628",1558,"Professional Services","Sales","nonunion",4.887279,40,13,5.833333,36,"female","white","married",12,"not college grad",1,"SMSA",1
"629",1559,"Manufacturing","Sales","union",6.714973,40,17.48718,9.583333,35,"female","white","married",12,"not college grad",0,"SMSA",0
"630",1561,"Business/Repair Svc","Managers/admin","nonunion",7.801928,40,11.07692,10.58333,35,"male","white","married",14,"not college grad",0,"SMSA",0
"631",1562,"Professional Services","Sales","nonunion",6.223832,55,16.44231,4.25,42,"male","white","married",14,"not college grad",1,"SMSA",1
"632",1563,"Professional Services","Other","union",6.70692,60,13.4359,2.75,39,"female","white","married",18,"college grad",0,"SMSA",1
"633",1564,"Wholesale/Retail Trade","Sales","nonunion",6.159419,40,12.57692,6.916667,41,"female","white","single",16,"college grad",1,"SMSA",1
"634",1565,"Wholesale/Retail Trade","Managers/admin","nonunion",12.38325,45,15.19231,1.416667,39,"male","white","single",13,"not college grad",0,"SMSA",0
"635",1566,"Professional Services","Sales","nonunion",4.025765,40,11.1282,3.75,39,"female","black","single",14,"not college grad",0,"nonSMSA",0
"636",1572,"Manufacturing","Sales","nonunion",4.827484,40,16.48077,9.166667,40,"male","white","single",12,"not college grad",0,"nonSMSA",0
"637",1577,"Personal Services","Sales","nonunion",3.285022,24,6.23077,NA,41,"female","black","married",15,"not college grad",0,"SMSA",1
"638",1578,"Wholesale/Retail Trade","Clerical/unskilled","nonunion",38.70926,40,12.53846,1.583333,37,"female","black","single",14,"not college grad",1,"SMSA",1
"639",1580,"Finance/Ins/Real Estate","Clerical/unskilled","nonunion",5.852843,50,4.461538,1.25,38,"male","white","married",12,"not college grad",0,"nonSMSA",0
"640",1582,"Professional Services","Other","union",15.09662,40,14.16667,8.75,40,"male","black","married",18,"college grad",0,"SMSA",1
"641",1583,"Professional Services","Other","nonunion",6.634459,35,16.17308,9.75,39,"female","black","married",17,"college grad",0,"SMSA",1
"642",1585,"Finance/Ins/Real Estate","Sales","nonunion",4.703177,40,7.583333,0.6666667,36,"female","black","married",12,"not college grad",0,"SMSA",0
"643",1588,"Ag/Forestry/Fisheries","Sales","nonunion",4.025765,24,10.08333,0.1666667,43,"female","white","married",13,"not college grad",0,"nonSMSA",0
"644",1591,"Manufacturing","Sales","nonunion",6.26409,42,8.942307,1.583333,36,"female","white","single",14,"not college grad",0,"SMSA",0
"645",1595,"Finance/Ins/Real Estate","Sales","nonunion",7.536226,38,14.98077,7.416667,41,"male","white","married",14,"not college grad",0,"SMSA",0
"646",1596,"Professional Services","Sales","nonunion",5.410626,32,20.59615,20.58333,39,"female","white","married",12,"not college grad",0,"SMSA",1
"647",1598,"Wholesale/Retail Trade","Sales","nonunion",3.397743,36,7.564103,2.083333,44,"male","white","single",12,"not college grad",0,"SMSA",0
"648",1599,"Professional Services","Managers/admin","nonunion",12.38325,50,18.42949,11.16667,42,"male","white","married",16,"college grad",1,"SMSA",0
"649",1600,"Personal Services","Operatives","nonunion",3.623188,53,15.19872,3.416667,42,"female","white","married",11,"not college grad",0,"SMSA",0
"650",1603,"Professional Services","Laborers","nonunion",3.711753,38,3.910256,1.75,45,"female","white","married",7,"not college grad",0,"nonSMSA",0
"651",1604,"Wholesale/Retail Trade","Sales","nonunion",3.703702,40,7.038462,3.583333,37,"female","white","married",12,"not college grad",0,"SMSA",1
"652",1607,"Construction","Sales","nonunion",8.05153,38,16.34615,1.333333,39,"female","white","married",14,"not college grad",0,"nonSMSA",0
"653",1613,"Wholesale/Retail Trade","Managers/admin","nonunion",4.669887,20,8.782051,2.833333,38,"male","white","married",12,"not college grad",0,"nonSMSA",0
"654",1614,"Entertainment/Rec Svc","Sales","nonunion",3.344482,40,3.391026,1,42,"male","white","married",12,"not college grad",1,"SMSA",1
"655",1616,"Professional Services","Other","nonunion",7.004828,22,10.42308,6.416667,40,"male","white","married",15,"not college grad",0,"nonSMSA",0
"656",1618,"Manufacturing","Operatives","nonunion",4.750401,40,10.13462,9.583333,34,"female","white","married",12,"not college grad",0,"nonSMSA",0
"657",1620,"Professional Services","Sales","nonunion",2.491696,5,9.288462,NA,45,"female","white","single",12,"not college grad",0,"nonSMSA",0
"658",1622,"Professional Services","Other","union",3.309176,20,14.03846,1.583333,37,"male","white","married",16,"college grad",0,"nonSMSA",0
"659",1623,"Wholesale/Retail Trade","Managers/admin","nonunion",4.549112,40,9.615385,6,41,"male","white","married",12,"not college grad",0,"nonSMSA",0
"660",1624,"Wholesale/Retail Trade","Sales","nonunion",10.73268,15,10.57692,2.416667,39,"female","white","married",16,"college grad",0,"nonSMSA",0
"661",1625,NA,"Professional/technical","nonunion",6.086955,40,8.570513,0.8333333,37,"male","white","married",16,"college grad",0,"nonSMSA",0
"662",1626,"Manufacturing","Operatives","nonunion",3.985505,45,15.92308,10.25,35,"female","white","single",12,"not college grad",0,"nonSMSA",0
"663",1628,"Wholesale/Retail Trade","Sales","union",6.688963,10,7.980769,2,35,"female","white","single",12,"not college grad",0,"SMSA",0
"664",1630,"Finance/Ins/Real Estate","Laborers","nonunion",3.344482,3,12.13461,5,39,"male","white","single",12,"not college grad",0,"nonSMSA",0
"665",1631,"Wholesale/Retail Trade","Sales","nonunion",4.227053,32,10.61538,3.666667,39,"female","white","married",13,"not college grad",0,"SMSA",0
"666",1635,"Wholesale/Retail Trade","Sales","nonunion",3.220612,24,8.070513,2.666667,44,"male","white","single",12,"not college grad",0,"nonSMSA",0
"667",1636,"Wholesale/Retail Trade","Laborers","nonunion",4.227053,8,9.76282,0.5833333,40,"female","white","married",12,"not college grad",0,"nonSMSA",0
"668",1638,"Wholesale/Retail Trade","Clerical/unskilled","nonunion",3.872784,26,7.647436,4.333333,41,"male","white","married",13,"not college grad",0,"nonSMSA",0
"669",1641,"Personal Services","Laborers","nonunion",3.051839,15,10.98077,0.9166667,36,"male","white","married",16,"graduated college",0,"SMSA",1
"670",1644,"Public Administration","Professional/technical","nonunion",9.371979,38,18.26923,14.83333,36,"male","white","married",16,"college grad",0,"nonSMSA",0
"671",1645,"Professional Services","Sales","nonunion",3.719806,40,10.69231,4.666667,35,"female","white","married",12,"not college grad",0,"nonSMSA",0
"672",1646,"Personal Services","Transport","nonunion",2.657004,35,11.28846,3.416667,37,"female","white","single",12,"not college grad",0,"nonSMSA",0
"673",1647,"Wholesale/Retail Trade","Clerical/unskilled","nonunion",3.985505,20,6.923077,3.75,37,"male","white","married",12,"not college grad",0,"SMSA",0
"674",1648,"Professional Services","Other","union",8.904991,40,14.82692,8.833333,35,"female","white","married",16,"college grad",0,"nonSMSA",0
"675",1649,"Business/Repair Svc","Professional/technical","nonunion",13.37793,36,16.03846,2.666667,42,"male","white","married",16,"college grad",1,"SMSA",0
"676",1650,"Wholesale/Retail Trade","Farm laborers","nonunion",2.858293,40,2.673077,0.1666667,40,"female","white","single",11,"not college grad",0,"nonSMSA",0
"677",1651,"Professional Services","Laborers","nonunion",5.351169,20,12.66026,0.3333333,41,"male","white","married",15,"not college grad",0,"nonSMSA",0
"678",1653,"Professional Services","Managers/admin","nonunion",9.734298,50,16.07051,10.5,35,"male","white","married",12,"not college grad",0,"SMSA",0
"679",1654,"Business/Repair Svc","Other","nonunion",10.21739,50,16.83333,3,38,"female","white","married",16,"college grad",1,"SMSA",0
"680",1655,"Public Administration","Managers/admin","union",13.9694,45,19.55128,19.5,40,"male","white","married",13,"not college grad",0,"SMSA",0
"681",1656,"Professional Services","Laborers","union",6.779387,40,19.66667,19.66667,40,"female","white","single",12,"not college grad",0,"SMSA",1
"682",1659,"Professional Services","Professional/technical","nonunion",12.971,40,16.32051,4.5,41,"male","white","single",17,"college grad",0,"SMSA",1
"683",1664,"Wholesale/Retail Trade","Managers/admin","nonunion",20.64412,60,13.46795,8.333333,38,"male","white","married",17,"college grad",0,"SMSA",1
"684",1669,"Professional Services","Professional/technical","nonunion",10.10467,36,16.0641,13.41667,35,"male","white","married",14,"not college grad",0,"nonSMSA",0
"685",1671,"Personal Services","Laborers","nonunion",3.344482,32,1.326923,0.0833333,35,"female","white","single",9,"not college grad",0,"nonSMSA",0
"686",1674,"Public Administration","Managers/admin","nonunion",6.578098,40,15.17308,3.75,42,"male","white","married",12,"not college grad",0,"SMSA",1
"687",1675,"Wholesale/Retail Trade","Sales","nonunion",4.830918,40,10.82692,9.833333,42,"female","white","single",12,"not college grad",0,"nonSMSA",0
"688",1683,"Professional Services","Sales","nonunion",18.19645,2,11.80769,3.333333,35,"female","white","married",17,"college grad",0,"SMSA",0
"689",1686,"Professional Services","Professional/technical","nonunion",6.441224,2,8.692307,6.083333,35,"male","white","married",14,"not college grad",0,"nonSMSA",0
"690",1688,"Professional Services","Laborers","nonunion",5.016723,32,9.192307,3.5,36,"female","white","single",12,"not college grad",0,"nonSMSA",0
"691",1689,"Manufacturing","Operatives","nonunion",2.801002,40,13.75,0.4166667,39,"female","white","single",12,"not college grad",0,"nonSMSA",0
"692",1690,"Wholesale/Retail Trade","Managers/admin","nonunion",3.344482,30,12.11539,2.833333,37,"male","white","married",12,"not college grad",0,"nonSMSA",0
"693",1691,"Professional Services","Professional/technical","nonunion",5.917873,38,18.73077,11.75,35,"male","white","married",12,"not college grad",0,"nonSMSA",0
"694",1693,"Professional Services","Other","nonunion",5.072463,30,8.756411,1.75,40,"female","white","married",12,"not college grad",0,"nonSMSA",0
"695",1697,"Wholesale/Retail Trade","Managers/admin","nonunion",3.099125,60,14.44872,1.75,37,"female","white","married",12,"not college grad",0,"nonSMSA",0
"696",1701,"Construction","Sales","nonunion",5.233495,40,10.15385,0.75,36,"female","white","married",11,"not college grad",0,"SMSA",0
"697",1702,"Wholesale/Retail Trade","Sales","nonunion",2.801002,30,6.576923,0.1666667,35,"female","white","married",12,"not college grad",0,"nonSMSA",0
"698",1703,"Finance/Ins/Real Estate","Sales","nonunion",4.879225,40,12.96154,1.75,45,"female","white","single",13,"not college grad",0,"SMSA",1
"699",1707,"Manufacturing","Operatives","nonunion",7.149757,39,11.46154,4.416667,38,"male","white","married",9,"not college grad",0,"nonSMSA",0
"700",1710,"Professional Services","Professional/technical","nonunion",8.599029,45,14.83333,14.83333,40,"female","white","single",18,"college grad",0,"nonSMSA",0
"701",1712,"Manufacturing","Operatives","nonunion",3.663445,40,8.826923,2.416667,40,"female","white","married",13,"not college grad",0,"nonSMSA",0
"702",1713,"Wholesale/Retail Trade","Laborers","nonunion",6.038648,40,6.346154,1.583333,38,"female","white","married",8,"not college grad",0,"SMSA",1
"703",1714,"Finance/Ins/Real Estate","Sales","nonunion",5.748328,40,13.17308,6.916667,35,"female","white","married",14,"not college grad",0,"nonSMSA",0
"704",1716,"Professional Services","Professional/technical","nonunion",6.688963,40,14.97436,7.833333,35,"male","white","married",16,"college grad",0,"SMSA",1
"705",1719,"Professional Services","Professional/technical","nonunion",11.92431,50,18.25,15.83333,39,"male","white","married",14,"not college grad",0,"SMSA",0
"706",1721,"Wholesale/Retail Trade","Sales","nonunion",4.508855,42,17.35897,5,40,"female","white","married",13,"not college grad",0,"nonSMSA",0
"707",1724,"Professional Services","Other","nonunion",12.22222,38,17.67308,9.25,40,"male","white","married",18,"college grad",0,"SMSA",0
"708",1725,"Finance/Ins/Real Estate","Managers/admin","nonunion",15.48309,40,19.44231,6.333333,42,"male","white","married",16,"college grad",0,"SMSA",0
"709",1729,"Professional Services","Managers/admin","nonunion",3.824476,40,11.88462,4.083333,38,"male","white","married",15,"not college grad",0,"nonSMSA",0
"710",1732,"Wholesale/Retail Trade","Sales","nonunion",2.818035,32,6.532051,0.3333333,34,"female","white","single",12,"not college grad",0,"nonSMSA",0
"711",1737,"Finance/Ins/Real Estate","Sales","nonunion",4.750401,37,15.55769,10.41667,41,"female","white","single",12,"not college grad",0,"nonSMSA",0
"712",1738,"Professional Services","Laborers","nonunion",3.582928,20,14.91026,1.75,40,"female","white","married",12,"not college grad",0,"nonSMSA",0
"713",1740,"Public Administration","Laborers","nonunion",3.623188,15,13.46154,5.833333,44,"female","white","married",12,"not college grad",0,"nonSMSA",0
"714",1742,"Professional Services","Sales","nonunion",8.361203,20,15.37821,0.9166667,39,"male","white","single",18,"college grad",0,"SMSA",0
"715",1743,"Manufacturing","Managers/admin","nonunion",8.446053,55,16.82692,3.75,41,"male","white","married",12,"not college grad",1,"SMSA",0
"716",1746,"Wholesale/Retail Trade","Managers/admin","nonunion",17.66505,40,18.23077,5.25,42,"male","white","single",12,"not college grad",0,"SMSA",0
"717",1748,"Professional Services","Other","union",8.357487,50,20.33333,20.33333,43,"female","white","single",16,"college grad",0,"nonSMSA",0
"718",1749,"Professional Services","Sales","nonunion",5.249595,23,4.480769,2.75,36,"female","white","married",12,"not college grad",0,"SMSA",0
"719",1750,"Wholesale/Retail Trade","Managers/admin","nonunion",6.884055,45,4.935897,1.5,44,"male","white","married",12,"not college grad",0,"SMSA",0
"720",1752,"Professional Services","Laborers","nonunion",4.830918,20,7.121795,0.75,34,"female","white","married",14,"not college grad",0,"SMSA",0
"721",1754,"Public Administration","Professional/technical","nonunion",10.48309,35,12.94231,5.083333,42,"male","white","married",16,"college grad",1,"SMSA",0
"722",1755,"Wholesale/Retail Trade","Sales","nonunion",5.636071,40,11.19231,8.833333,35,"female","white","married",12,"not college grad",0,"nonSMSA",0
"723",1758,"Public Administration","Managers/admin","nonunion",7.351045,40,12.53846,5.833333,40,"male","white","married",12,"not college grad",1,"SMSA",1
"724",1759,"Manufacturing","Craftsmen","nonunion",5.273752,50,8.27564,4.25,40,"male","white","married",12,"not college grad",0,"nonSMSA",0
"725",1760,"Professional Services","Professional/technical","nonunion",8.988295,40,11.76923,0.5,36,"male","white","married",16,"college grad",0,"nonSMSA",0
"726",1761,"Professional Services","Other","union",4.903378,55,13.91667,13.91667,36,"male","white","single",17,"college grad",0,"nonSMSA",0
"727",1762,"Wholesale/Retail Trade","Craftsmen","nonunion",3.79227,35,7.884615,2.666667,38,"female","white","single",12,"not college grad",0,"nonSMSA",0
"728",1763,"Business/Repair Svc","Clerical/unskilled","nonunion",4.025765,20,16.63461,0,39,"female","white","single",18,"college grad",0,"SMSA",0
"729",1764,"Manufacturing","Operatives","union",11.15137,40,13.03846,4.166667,38,"female","white","married",12,"not college grad",0,"nonSMSA",0
"730",1765,"Manufacturing","Operatives","nonunion",4.669887,32,12.21154,8.75,43,"male","white","married",12,"not college grad",0,"nonSMSA",0
"731",1767,NA,"Other","nonunion",3.019324,16,6.160257,3.25,36,"male","white","married",17,"college grad",0,"SMSA",0
"732",1769,"Manufacturing","Sales","nonunion",12.38325,40,20.83333,20.83333,38,"female","white","single",14,"not college grad",0,"nonSMSA",0
"733",1770,"Manufacturing","Operatives","union",5.861513,40,17.90385,17.75,37,"female","white","married",12,"not college grad",0,"nonSMSA",0
"734",1776,"Public Administration","Operatives","nonunion",40.19808,40,15.71154,7.166667,38,"female","white","married",15,"not college grad",0,"nonSMSA",0
"735",1777,"Manufacturing","Sales","union",13.55072,40,16.58333,16.58333,40,"female","white","married",11,"not college grad",0,"nonSMSA",0
"736",1778,"Manufacturing","Craftsmen","union",10.62802,48,19.83333,19.83333,44,"female","white","married",12,"not college grad",0,"nonSMSA",0
"737",1779,"Wholesale/Retail Trade","Sales","nonunion",5.676328,30,14.75,14.75,38,"female","white","married",16,"college grad",0,"nonSMSA",0
"738",1780,NA,"Operatives","union",11.85185,48,20.39103,16.5,43,"female","white","married",12,"not college grad",0,"nonSMSA",0
"739",1784,"Manufacturing","Managers/admin","nonunion",9.677936,40,14.51923,4.416667,35,"male","black","single",14,"not college grad",0,"SMSA",0
"740",1785,"Manufacturing","Operatives","nonunion",4.227053,40,15.64744,7.666667,39,"female","black","single",11,"not college grad",0,"nonSMSA",0
"741",1786,"Manufacturing","Sales","nonunion",4.790658,40,7.717948,1.916667,43,"female","white","married",12,"not college grad",0,"SMSA",0
"742",1787,"Professional Services","Laborers","nonunion",4.726247,35,7.826923,1.5,38,"female","white","married",12,"not college grad",0,"SMSA",0
"743",1788,"Wholesale/Retail Trade","Clerical/unskilled","nonunion",2.777777,20,5.352564,0.75,37,"male","white","married",12,"not college grad",0,"nonSMSA",0
"744",1790,"Wholesale/Retail Trade","Sales","nonunion",3.584229,15,8.089744,0.5833333,40,"male","white","married",12,"not college grad",0,"SMSA",0
"745",1791,"Wholesale/Retail Trade","Laborers","nonunion",2.090301,40,13.55128,7.166667,34,"female","white","single",12,"not college grad",0,"SMSA",0
"746",1792,"Wholesale/Retail Trade","Clerical/unskilled","nonunion",3.260869,26,6.057693,1.833333,35,"male","white","single",12,"not college grad",0,"SMSA",0
"747",1796,"Wholesale/Retail Trade","Laborers","nonunion",3.019324,40,8.692307,1.333333,36,"female","white","married",12,"not college grad",0,"SMSA",0
"748",1801,"Professional Services","Laborers","nonunion",7.21417,24,17.02564,0,39,"female","white","married",12,"not college grad",0,"nonSMSA",0
"749",1802,"Professional Services","Sales","nonunion",6.481478,46,18.84615,13.66667,36,"male","white","married",12,"not college grad",0,"nonSMSA",0
"750",1804,"Wholesale/Retail Trade","Sales","nonunion",40.19808,40,10.19872,2.166667,41,"female","white","married",13,"not college grad",0,"nonSMSA",0
"751",1805,"Professional Services","Professional/technical","nonunion",10.77294,35,15.99359,0,40,"male","white","married",16,"college grad",0,"nonSMSA",0
"752",1807,"Professional Services","Professional/technical","union",10.25765,40,16.57692,3.75,38,"male","white","married",16,"college grad",0,"nonSMSA",0
"753",1810,"Professional Services","Professional/technical","nonunion",10.95813,24,15.02564,15,36,"male","white","married",15,"college grad",0,"nonSMSA",0
"754",1814,"Transport/Comm/Utility","Sales","nonunion",8.28502,40,7.788461,4.833333,42,"female","white","married",13,"not college grad",1,"SMSA",0
"755",1815,"Manufacturing","Sales","nonunion",6.191625,45,13.25,2.166667,45,"female","white","single",12,"not college grad",0,"SMSA",1
"756",1817,"Manufacturing","Operatives","union",7.528179,40,17.75,17.75,36,"male","white","married",12,"not college grad",0,"SMSA",1
"757",1818,"Professional Services","Sales","nonunion",5.418679,40,10.13461,6.916667,41,"female","white","single",12,"not college grad",0,"nonSMSA",0
"758",1819,"Wholesale/Retail Trade","Clerical/unskilled","union",5.636071,40,13.88461,13.83333,43,"female","white","single",12,"not college grad",0,"SMSA",1
"759",1822,"Public Administration","Sales","nonunion",8.904991,40,21.08333,21.08333,45,"female","white","single",14,"not college grad",0,"SMSA",1
"760",1823,"Professional Services","Laborers","nonunion",9.85507,40,11.38461,8.833333,36,"female","white","married",16,"college grad",0,"SMSA",0
"761",1825,"Finance/Ins/Real Estate","Clerical/unskilled","nonunion",3.220612,33,9.076923,0.0833333,44,"male","white","married",12,"not college grad",0,"SMSA",1
"762",1826,"Finance/Ins/Real Estate","Sales","nonunion",5.418679,40,11.53205,4.583333,39,"female","white","married",12,"not college grad",0,"SMSA",0
"763",1827,"Professional Services","Professional/technical","union",9.299514,40,10.89744,3.833333,38,"male","white","married",18,"college grad",0,"SMSA",0
"764",1828,"Manufacturing","Operatives","nonunion",9.613523,44,15.90385,15.83333,37,"female","white","married",12,"not college grad",0,"SMSA",0
"765",1829,"Construction","Service","nonunion",5.805152,8,6.057693,1.416667,41,"female","white","married",12,"not college grad",0,"SMSA",0
"766",1830,"Professional Services","Other","union",10.64412,48,16.98077,8.583333,39,"male","white","married",18,"college grad",0,"SMSA",0
"767",1831,NA,"Laborers","nonunion",1.680601,30,6.576923,1.583333,41,"female","white","single",12,"not college grad",1,"nonSMSA",0
"768",1833,"Finance/Ins/Real Estate","Managers/admin","nonunion",10.48309,48,17.75,6.166667,38,"male","white","single",13,"not college grad",0,"SMSA",0
"769",1842,"Professional Services","Sales","nonunion",6.988722,40,16.32692,8.666667,44,"female","black","married",12,"not college grad",0,"SMSA",1
"770",1843,"Manufacturing","Operatives","nonunion",5.032206,40,18.80128,13.5,43,"female","black","single",12,"not college grad",0,"SMSA",0
"771",1845,"Professional Services","Laborers","nonunion",4.227053,44,8.512821,1.25,40,"female","black","married",11,"not college grad",0,"SMSA",0
"772",1847,"Wholesale/Retail Trade","Craftsmen","nonunion",2.777777,40,3.461538,0.6666667,40,"female","black","single",11,"not college grad",0,"SMSA",0
"773",1853,"Finance/Ins/Real Estate","Managers/admin","nonunion",7.737515,50,8.929487,8.916667,36,"male","white","married",11,"not college grad",1,"SMSA",1
"774",1854,"Professional Services","Laborers","nonunion",3.010032,30,3.365385,0.6666667,35,"female","white","married",14,"not college grad",1,"SMSA",0
"775",1856,"Transport/Comm/Utility","Sales","union",11.53784,40,9.679487,4.416667,35,"male","black","married",12,"not college grad",0,"SMSA",0
"776",1857,"Professional Services","Laborers","nonunion",3.059581,40,5.878205,3.083333,44,"female","black","single",9,"not college grad",0,"SMSA",0
"777",1858,"Finance/Ins/Real Estate","Sales","nonunion",3.623188,35,14.67308,4.833333,40,"male","white","married",12,"not college grad",0,"SMSA",0
"778",1860,"Wholesale/Retail Trade","Clerical/unskilled","nonunion",16.52979,45,17.55769,1.75,35,"female","white","married",14,"not college grad",0,"SMSA",0
"779",1863,"Transport/Comm/Utility","Laborers","union",20.64412,30,17.08333,17.08333,39,"female","white","married",12,"not college grad",0,"nonSMSA",0
"780",1864,"Public Administration","Sales","nonunion",6.803541,40,15.65385,10.41667,39,"female","white","single",12,"not college grad",0,"nonSMSA",0
"781",1865,"Professional Services","Other","union",6.690819,50,15.60256,0.8333333,40,"female","white","married",17,"college grad",1,"SMSA",1
"782",1866,"Professional Services","Professional/technical","nonunion",13.40579,32,15.66667,15.66667,37,"male","white","married",15,"not college grad",0,"SMSA",1
"783",1867,"Professional Services","Laborers","nonunion",5.016103,32,16.44872,16.41667,35,"female","white","single",11,"not college grad",0,"nonSMSA",0
"784",1868,"Wholesale/Retail Trade","Laborers","nonunion",2.777777,5,18.96154,3.333333,43,"female","white","single",6,"not college grad",0,"nonSMSA",0
"785",1872,"Manufacturing","Operatives","nonunion",3.220612,40,4.903846,0.0833333,40,"female","white","single",9,"not college grad",0,"nonSMSA",0
"786",1873,"Wholesale/Retail Trade","Laborers","nonunion",2.012882,25,18.42308,4.166667,43,"female","white","married",12,"not college grad",0,"nonSMSA",0
"787",1875,"Professional Services","Sales","nonunion",2.294685,27,8,3.166667,41,"female","white","married",13,"not college grad",0,"nonSMSA",0
"788",1876,"Professional Services","Laborers","nonunion",10.46699,40,14.19231,0.5,37,"female","white","married",15,"not college grad",1,"SMSA",0
"789",1878,"Professional Services","Other","nonunion",11.22383,40,11.59615,1.666667,41,"female","white","married",18,"college grad",1,"SMSA",0
"790",1879,"Professional Services","Other","nonunion",2.801002,12,6.724359,0.3333333,35,"male","white","married",16,"college grad",0,"SMSA",0
"791",1880,"Professional Services","Professional/technical","nonunion",10.2657,20,9.961538,3.25,37,"male","white","married",14,"not college grad",0,"SMSA",0
"792",1881,"Manufacturing","Sales","nonunion",5.434783,40,19.77564,7.083333,37,"male","white","married",12,"not college grad",0,"SMSA",0
"793",1882,"Manufacturing","Sales","nonunion",9.677936,40,15.8141,2.083333,40,"female","black","married",12,"not college grad",0,"SMSA",0
"794",1883,"Manufacturing","Operatives","nonunion",3.043478,32,12.13462,7.416667,42,"female","white","single",9,"not college grad",0,"SMSA",0
"795",1884,"Professional Services","Professional/technical","nonunion",5.869563,38,12.98077,4.166667,44,"male","white","married",16,"college grad",0,"SMSA",0
"796",1886,"Personal Services","Laborers","nonunion",8.05153,30,7.615385,2.333333,36,"female","black","single",12,"not college grad",0,"SMSA",0
"797",1890,"Manufacturing","Managers/admin","nonunion",11.6103,40,15.3718,11.25,35,"male","white","single",12,"not college grad",0,"SMSA",0
"798",1891,"Wholesale/Retail Trade","Sales","union",8.05153,40,19,6.083333,40,"male","white","married",12,"not college grad",0,"SMSA",0
"799",1892,"Wholesale/Retail Trade","Operatives","nonunion",6.688963,15,14.34615,4.666667,41,"male","white","married",12,"not college grad",0,"SMSA",0
"800",1894,"Public Administration","Sales","nonunion",8.429946,40,16.94231,11.66667,39,"female","white","married",13,"not college grad",0,"SMSA",0
"801",1895,"Transport/Comm/Utility","Managers/admin","nonunion",10.99839,48,18,5.416667,39,"male","white","single",12,"not college grad",0,"SMSA",0
"802",1896,"Finance/Ins/Real Estate","Sales","nonunion",4.508855,40,14.42308,0.0833333,36,"female","white","married",13,"not college grad",0,"SMSA",0
"803",1899,"Professional Services","Other","union",5.161031,60,11.44231,1.833333,41,"male","white","married",17,"college grad",0,"SMSA",0
"804",1905,"Professional Services","Other","union",6.191625,50,14.38461,2.833333,44,"male","white","married",18,"college grad",0,"nonSMSA",0
"805",1910,"Professional Services","Other","union",6.505631,50,16.01923,15.83333,39,"female","white","married",17,"college grad",0,"nonSMSA",0
"806",1911,"Professional Services","Professional/technical","nonunion",5.555554,40,10.30128,6.833333,38,"male","white","married",12,"not college grad",1,"nonSMSA",0
"807",1915,"Professional Services","Professional/technical","nonunion",11.99677,40,17.28846,11.83333,40,"male","white","married",18,"college grad",0,"SMSA",0
"808",1918,"Wholesale/Retail Trade","Laborers","nonunion",6.76328,22,18.84615,18.83333,44,"female","white","married",12,"not college grad",0,"SMSA",0
"809",1921,"Transport/Comm/Utility","Professional/technical","nonunion",40.19808,40,26.84615,20.5,44,"male","white","single",12,"not college grad",0,"SMSA",0
"810",1925,"Public Administration","Sales","union",6.505631,38,13.88462,9.333333,34,"male","white","married",12,"not college grad",0,"SMSA",0
"811",1926,"Professional Services","Professional/technical","nonunion",5.636071,30,10.17308,1.75,41,"male","white","married",12,"not college grad",1,"SMSA",0
"812",1927,"Business/Repair Svc","Professional/technical","nonunion",13.6876,8,13.10897,1.916667,38,"male","white","married",12,"not college grad",0,"SMSA",0
"813",1928,"Professional Services","Other","union",17.02898,40,18.83333,18.83333,45,"male","white","single",17,"college grad",0,"SMSA",0
"814",1929,"Professional Services","Other","union",7.15781,55,15.86539,14.83333,36,"female","white","married",16,"college grad",0,"SMSA",0
"815",1930,"Professional Services","Sales","nonunion",10.83736,40,12.87821,6.75,41,"female","white","married",16,"college grad",0,"SMSA",0
"816",1932,"Wholesale/Retail Trade","Managers/admin","nonunion",7.178227,56,14.67308,3.25,45,"male","white","single",12,"not college grad",0,"SMSA",0
"817",1934,"Business/Repair Svc","Managers/admin","nonunion",11.67,30,7.961538,0.1666667,40,"male","white","married",13,"not college grad",0,"nonSMSA",0
"818",1939,"Personal Services","Sales","nonunion",3.623188,30,10.92949,7.416667,39,"female","black","single",12,"not college grad",0,"SMSA",1
"819",1941,"Professional Services","Sales","nonunion",2.785829,40,12.74359,7.416667,34,"male","black","married",12,"not college grad",0,"SMSA",1
"820",1944,"Personal Services","Sales","nonunion",5.53945,40,10.83333,10.83333,37,"female","black","single",11,"not college grad",0,"SMSA",1
"821",1949,"Professional Services","Laborers","nonunion",3.864734,15,11.21795,3.333333,40,"female","black","single",12,"not college grad",0,"SMSA",1
"822",1951,"Business/Repair Svc","Sales","nonunion",3.360215,25,12,0,42,"male","black","single",10,"not college grad",0,"SMSA",0
